Hypothesis,Position,Outcome,ATE_XGB,ATE_LRS
C1_Height,Forward,TotalScore,0.0640128176539552,0.10222321435105698
C2_Weight,Forward,TotalScore,-0.31700174128775505,-0.18661995320722446
C1_Height,Midfield,Clearances,-0.09727743223065356,-0.18571242043129207
C2_Weight,Midfield,Clearances,0.21084935996980178,0.12428992190104507
C1_Height,Ruck,HitOuts,3.66038684002482,-0.5154555932138611
C2_Weight,Ruck,HitOuts,4.218888949316281,0.08799149428911085
C1_Height,Defender,Rebounds,-0.38905679308298813,-0.1523958456535812
C2_Weight,Defender,Rebounds,-0.25370949914621244,0.0014354380254557955
C3_BMI_primary,Forward,TotalScore,0.643476644766097,0.13008313121901707
C3_BMI_primary,Midfield,Clearances,0.6213418613109356,0.009873678593561109
C3_BMI_primary,Ruck,HitOuts,1.5822561186953232,0.9107863512717187
C3_BMI_primary,Defender,Rebounds,-0.1078878172039794,-0.031433017895024055
C4_Home,Forward,TotalScore,-0.025815290460399553,
C4_Home,Midfield,Clearances,0.012178987389487745,
C4_Home,Ruck,HitOuts,0.1987587884068489,
C4_Home,Defender,Rebounds,-0.07183567214509277,
